,Unnamed: 0,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2,circuit,perturbed
78,78,500,1.25,0.75,0.0716408917059833,0.0006674766849045,3.3601940338516775e-05,6.85102561659973,8.963841540190481,Dual Control,True
79,79,500,1.5,0.75,0.071197924220968,0.0009279211788996,3.827790925027829e-05,5.281293126828583,9.993966961372951,Dual Control,True
80,80,500,0.5,0.9,0.0622606486161807,0.0006419365779271,7.016835852699524e-05,2.217275897011235,9.463793044684069,Dual Control,True
81,81,500,0.75,0.9,0.0646532977128304,0.0004996978607686,6.340302061361753e-05,3.181214927963761,9.784177394043631,Dual Control,True
82,82,500,0.9,0.9,0.0654470332729127,0.0006009932273208,5.108381634307499e-05,3.297080611591684,9.434908758493524,Dual Control,True
83,83,500,0.95,0.9,0.0663142938959537,0.0001103570340936,7.473007747005602e-05,8.72984891080031,9.99530675739879,Dual Control,True
84,84,500,1.05,0.9,0.0667522871681979,0.0002174724379878,5.0665320913045625e-05,6.283605898713548,9.590514547664618,Dual Control,True
85,85,500,1.1,0.9,0.0662296548989512,0.0006952329257235,5.544038268561371e-05,3.014466638278898,9.838703411244126,Dual Control,True
86,86,500,1.25,0.9,0.0680313776857315,0.0008540421714024,6.359393014665688e-05,2.469143386099792,8.814375175832284,Dual Control,True
87,87,500,1.5,0.9,0.0685922269987543,0.0005591098795088,3.5184807891780195e-05,5.840384154828998,9.327351834157277,Dual Control,True
88,88,500,0.5,0.95,0.0612021238653775,0.0005935853348394,5.686630745984126e-05,2.541723951627727,9.735100340850114,Dual Control,True
89,89,500,0.75,0.95,0.063714397484124,0.00033814780387,7.774434610635377e-05,3.320523765856112,9.992998686355936,Dual Control,True
90,90,500,0.9,0.95,0.064378515597102,0.0004801900143127,4.990918566798317e-05,3.820748819128539,9.978323350450458,Dual Control,True
91,91,500,0.95,0.95,0.0648859015391507,0.0006357747298644,4.885573894638959e-05,3.510274219547887,9.89496601300315,Dual Control,True
92,92,500,1.05,0.95,0.0662130933522877,0.0002208059209812,4.109798759508394e-05,7.844869274363066,9.81320450631286,Dual Control,True
93,93,500,1.1,0.95,0.0658904439473658,0.0007147412546829,4.958823833046933e-05,3.084789961130629,8.98347651774977,Dual Control,True
94,94,500,1.25,0.95,0.067523110940133,0.0003396277316851,4.921682014652213e-05,4.421305761841873,8.730195598393768,Dual Control,True
95,95,500,1.5,0.95,0.0676964589593418,0.000440326477089,4.0192280614892194e-05,6.126384537316103,9.99979331675538,Dual Control,True
96,96,500,0.5,1.05,0.0601541337518869,0.000130187617821,7.814735549267129e-05,5.211089394694999,9.943870969089389,Dual Control,True
97,97,500,0.75,1.05,0.0616843201381498,0.0006324161531545,5.999497689715223e-05,2.6302861733388787,9.98351938310978,Dual Control,True
