,circuits,k1,k2,theta1,theta2,loss,Circuit
165,"[(0, 0, 1), (1, 0, 0)]",2.0,0.0,1e-07,1e-07,0.4930048353394046,Downstream Activation
166,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394061,Upstream Repression
167,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
168,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
169,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942274,Upstream Repression
170,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
171,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.493004835339423,Upstream Repression
172,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394227,Upstream Repression
173,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
174,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394225,Upstream Repression
175,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394232,Dual Control
176,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394052,No Control
177,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394052,Upstream Repression
178,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394226,Upstream Repression
179,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394049,No Control
180,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942185,Upstream Repression
181,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.49300483533943756,Dual Control
182,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942285,Upstream Repression
183,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.4930048353394047,Upstream Repression
184,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940576,Upstream Repression
185,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
186,"[(0, 0, 1), (0, 0, 1)]",2.0,2.0,1e-07,1e-07,0.4930048353394046,No Control
187,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533940526,Upstream Repression
188,"[(0, 1, 0), (1, 0, 0)]",1.0,0.0,1e-07,1e-07,0.4930048353394231,Dual Control
189,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.493004835339438,Upstream Repression
190,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.49300483533942296,Upstream Repression
191,"[(0, 1, 0), (0, 0, 1)]",1.0,2.0,1e-07,1e-07,0.493004835339423,Upstream Repression
